Drug name,Drug Id,Cell line name,Cosmic sample Id,TCGA classification,Tissue,Tissue sub-type,IC50,AUC,Max conc,RMSE,Z score,Dataset version
Erlotinib,1,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,2.096073785998597,.96017769642516959,2,.041391501497295535,-.47028056194822915,GDSC1
Erlotinib,1,CMK,910566,LAML,blood,acute_myeloid_leukaemia,2.5714586947709619,.9907506719902246,2,.024239732835146206,-.024894363150315204,GDSC1
Erlotinib,1,CESS,910688,LAML,blood,acute_myeloid_leukaemia,3.0171457661913541,.99209942642608961,2,.02561866290958411,.39266805191649273,GDSC1
Erlotinib,1,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,1.9525047458529008,.98938226309865684,2,.01415579215136707,-.60478981513568308,GDSC1
Erlotinib,1,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,2.9122154681360648,.98865881994682736,2,.0265350562226889,.29435927995680905,GDSC1
Erlotinib,1,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,2.2770828272207937,.98849853353395867,2,.024071174885595688,-.30069392314179411,GDSC1
Erlotinib,1,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,3.4569333714780175,.98700639593026929,2,.048174612778027738,.80470328101725075,GDSC1
Erlotinib,1,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,1.3017094532452953,.91597205911102875,2,.043351868186861875,-1.2145172932725057,GDSC1
Erlotinib,1,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,2.294773041400846,.97798365722712655,2,.022126011052141379,-.28412003300733202,GDSC1
Erlotinib,1,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,2.2946822588556555,.99431612312460049,2,.019093326522151833,-.28420508680683954,GDSC1
Erlotinib,1,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,3.6549206886734509,.97900385251238342,2,.037189104425556264,.99019679793092241,GDSC1
Rapamycin,3,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,-2.4532325794367775,.89792540087761918,.10000000000000001,.22559993571153406,-.14693704673476748,GDSC1
Rapamycin,3,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,-1.4574613029471624,.94380581573331201,.10000000000000001,.086382091561430438,.38197648467995293,GDSC1
Rapamycin,3,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,-2.2464721232482541,.86496006467387665,.10000000000000001,.17334690486968421,-.037114233382377106,GDSC1
Rapamycin,3,HEL,907053,LAML,blood,acute_myeloid_leukaemia,-3.6527115352935966,.73824931153423878,.10000000000000001,.27867440162119411,-.78405187960722189,GDSC1
Rapamycin,3,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,-.7126595039634458,.96189111327956489,.10000000000000001,.068869236969605965,.77758515406561046,GDSC1
Rapamycin,3,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,-1.6158237599318055,.9364731617732116,.10000000000000001,.099469271442559043,.29786073606894864,GDSC1
Rapamycin,3,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,-.81721793861523662,.96973205449279587,.10000000000000001,.08181980190535855,.72204793159637937,GDSC1
Rapamycin,3,KY821,907300,LAML,blood,leukemia,-.13367802734779802,.98430337331533324,.10000000000000001,.060324610210923016,1.0851167576081888,GDSC1
Rapamycin,3,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,-1.9663144332062221,.91876758866804842,.10000000000000001,.13490516858543547,.11169422965694328,GDSC1
Rapamycin,3,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,-1.9226589637563987,.88801300675221029,.10000000000000001,.15091028610364834,.13488225391254588,GDSC1
Rapamycin,3,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,-1.7713942414093247,.89732954366143236,.10000000000000001,.14531030258068547,.21522797221555065,GDSC1
Rapamycin,3,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,-3.0124333114458111,.77947446276162324,.10000000000000001,.22167066184997283,-.44396191672224716,GDSC1
Rapamycin,3,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,-.26223452627677268,.99601066416650541,.10000000000000001,.015408793053714931,1.0168327315067935,GDSC1
Rapamycin,3,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,-4.0225542443962974,.68678731978908747,.10000000000000001,.29303327946411001,-.98049740676592445,GDSC1
Rapamycin,3,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,-.29949616685506608,.98706893471915458,.10000000000000001,.05758114182721568,.99704085121270791,GDSC1
Rapamycin,3,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,-6.2189015902993479,.32273848108740111,.10000000000000001,.24197653077469675,-2.1471085135154433,GDSC1
Rapamycin,3,CMK,910566,LAML,blood,acute_myeloid_leukaemia,-3.0244325411093609,.8293313994747209,.10000000000000001,.18165001478362769,-.45033542345561856,GDSC1
Rapamycin,3,CESS,910688,LAML,blood,acute_myeloid_leukaemia,-4.5084727811039427,.59536611703278863,.10000000000000001,.20845977481271874,-1.2385977309045617,GDSC1
Rapamycin,3,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,-1.4917994122033709,.97792974668645649,.10000000000000001,.049488501064559084,.36373746628525522,GDSC1
Rapamycin,3,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,-.081264614978784108,.98868739754727053,.10000000000000001,.026470522901419352,1.1129566478361135,GDSC1
Rapamycin,3,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,-.68925822999342845,.98896249679069381,.10000000000000001,.037231155668128506,.79001496676187399,GDSC1
Rapamycin,3,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,-1.3169277048824928,.9380790949124207,.10000000000000001,.13145009834745289,.4566222626710964,GDSC1
Rapamycin,3,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,-2.4214063952256057,.85844822968164447,.10000000000000001,.22175989810423188,-.13003226158980069,GDSC1
Rapamycin,3,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,-1.7344944613492259,.93608437030106972,.10000000000000001,.15199429177039092,.23482764680027629,GDSC1
Rapamycin,3,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,-1.8345786007239668,.9634571373122669,.10000000000000001,.096534735468183586,.18166698948355628,GDSC1
Rapamycin,3,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,-3.5241404613248251,.71297967659257799,.10000000000000001,.12730370078797351,-.71576011183266164,GDSC1
Sunitinib,5,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,.57544776470343273,.71509183773608831,8,.051223976751932951,-1.1721403932757504,GDSC1
Sunitinib,5,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,2.4220948278120482,.91259275302109755,8,.13787108680008606,-.047743806866300212,GDSC1
Sunitinib,5,HEL,907053,LAML,blood,acute_myeloid_leukaemia,1.2263705819257458,.81151677128421473,8,.062423960952851812,-.77580294021163831,GDSC1
Sunitinib,5,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,3.5709412407395318,.95855690505246494,8,.023809361691344177,.65177209458044305,GDSC1
Sunitinib,5,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,1.8491336182280833,.86415590146903476,8,.065103477935565993,-.39661156891539689,GDSC1
Sunitinib,5,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,1.5868863719717097,.83505547095318677,8,.076707849861567132,-.55629010975663684,GDSC1
Sunitinib,5,KY821,907300,LAML,blood,leukemia,1.2638193639595168,.795228722205648,8,.053505525252203312,-.75300092052679346,GDSC1
Sunitinib,5,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,.94521115418751012,.75869807061260564,8,.045063826694047716,-.94699683378301225,GDSC1
Sunitinib,5,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,-2.910428721991337,.19792753273222408,8,.10106979451744043,-3.2946399767568142,GDSC1
Sunitinib,5,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,-2.0578822616222197,.30328277873451626,8,.063883214237879696,-2.7755368146285821,GDSC1
Sunitinib,5,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,1.2754601631420635,.76873362929665534,8,.056050967032836047,-.74591300691004647,GDSC1
Sunitinib,5,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,3.7718321579058918,.99307795038115176,8,.042297515014671112,.77409165743306219,GDSC1
Sunitinib,5,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,.38683572831485802,.69155184536294589,8,.049072409470397746,-1.2869835238921905,GDSC1
Sunitinib,5,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,3.0998247426710068,.96143646095969215,8,.067671816280819599,.36491609875322806,GDSC1
Sunitinib,5,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,1.4824970609765824,.81409806580085275,8,.047221238072421942,-.61985124565824679,GDSC1
Sunitinib,5,CMK,910566,LAML,blood,acute_myeloid_leukaemia,.80023790085145763,.7493152185364006,8,.035845734771611786,-1.0352689429630555,GDSC1
Sunitinib,5,CESS,910688,LAML,blood,acute_myeloid_leukaemia,2.6944501583748868,.94445331473174732,8,.12088402302248266,.1180893997561723,GDSC1
Sunitinib,5,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,.27857817292119913,.67115171454082112,8,.029995238498713842,-1.3528999776474377,GDSC1
Sunitinib,5,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,2.1769317814458913,.90116577196811076,8,.061647912423631081,-.19702002642923405,GDSC1
Sunitinib,5,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,.76570566238561477,.74660203304660766,8,.061658894442491355,-1.0562951216128666,GDSC1
Sunitinib,5,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,2.4004968913948721,.89644224263754335,8,.13002234132620233,-.060894476783745502,GDSC1
Sunitinib,5,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,-4.8087923996898034,.046504510997657622,8,.036922034506566566,-4.450526058948741,GDSC1
Sunitinib,5,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,-1.3393058646409806,.39299558744383367,8,.12754044582993673,-2.3380060790694048,GDSC1
Sunitinib,5,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,1.5605143974002393,.87258119178724081,8,.10666273348394424,-.57234762219494839,GDSC1
Sunitinib,5,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,1.179006176377309,.75169424097771376,8,.078309177463474683,-.80464243909580746,GDSC1
PHA-665752,6,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,1.7536083876942299,.9747069700472204,2,.012712365114315911,-1.1016186391141507,GDSC1
PHA-665752,6,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,3.346623971185291,.99077386726456451,2,.021222688607723601,.68437907295965539,GDSC1
PHA-665752,6,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,1.9991435896686556,.94452213851751043,2,.083677970104155161,-.82633865221101888,GDSC1
PHA-665752,6,HEL,907053,LAML,blood,acute_myeloid_leukaemia,2.6141320349536525,.99120736150219968,2,.023732687546050377,-.13684887721222022,GDSC1
PHA-665752,6,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,3.1337305988471429,.98198804502244519,2,.035944775225438465,.44569523342159545,GDSC1
PHA-665752,6,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,2.858558535026491,.98528789374407788,2,.024027336175518985,.13718809670338816,GDSC1
PHA-665752,6,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,3.2607872279991081,.99002557286171378,2,.021797911268246581,.58814383927385161,GDSC1
PHA-665752,6,KY821,907300,LAML,blood,leukemia,3.2650174832065422,.98963940570637243,2,.020974469185836186,.59288655880545116,GDSC1
PHA-665752,6,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,2.8359962268633643,.9871679885710678,2,.054325792025903798,.11189253074907389,GDSC1
PHA-665752,6,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,2.2592269581165501,.95245686239840066,2,.033291383894406036,-.53474809540150681,GDSC1
PHA-665752,6,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,2.1951550198583707,.94884483796342245,2,.13015394675567454,-.6065818780230593,GDSC1
PHA-665752,6,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,2.4102794517393549,.95327016355969829,2,.12114871526999638,-.36539670247780637,GDSC1
PHA-665752,6,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,2.7274977888068794,.99597234935354106,2,.018943721193526802,-.009749695567258224,GDSC1
PHA-665752,6,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,2.0112925342342405,.99333467790955332,2,.024223423431238199,-.81271795231133837,GDSC1
PHA-665752,6,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,3.1220541640033974,.99211437678547898,2,.028315280381076419,.43260428432340337,GDSC1
PHA-665752,6,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,3.2575504643372417,.98649996146596952,2,.046183139895126846,.58451496548597037,GDSC1
PHA-665752,6,CMK,910566,LAML,blood,acute_myeloid_leukaemia,2.5835942033683978,.99089983510441559,2,.024574057670787564,-.17108614262768823,GDSC1
PHA-665752,6,CESS,910688,LAML,blood,acute_myeloid_leukaemia,2.5968895069689415,.98692938408164199,2,.04583408734594787,-.15618021072220109,GDSC1
PHA-665752,6,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,1.9210526624686917,.98881010946172343,2,.070748893988759262,-.91388972123898882,GDSC1
PHA-665752,6,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,2.8946324024807715,.98843330786557115,2,.026622228334112506,.1776320480411436,GDSC1
PHA-665752,6,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,2.4345399569405441,.99078306232780133,2,.028498487874027527,-.33819721539675496,GDSC1
PHA-665752,6,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,3.0263015132732067,.9807336703697318,2,.091026990901438939,.3252519037808671,GDSC1
PHA-665752,6,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,2.3130379843677673,.9632675295713391,2,.18223060848326092,-.47441825885439509,GDSC1
PHA-665752,6,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,1.639904419608867,.95602982170590711,2,.056025698056249462,-1.2290970071594502,GDSC1
PHA-665752,6,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,2.2945917012497015,.99431523172752478,2,.028027692416592184,-.49509917358401306,GDSC1
PHA-665752,6,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,3.4330761200216706,.97521511099727864,2,.071362974031122572,.78130426416667831,GDSC1
MG-132,9,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,-1.2905988445168686,.74882505655752141,1,.12781504793825874,-.86596518275987244,GDSC1
MG-132,9,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,-.79339074413383026,.7988176555482005,1,.15003839799429827,-.51752445834882776,GDSC1
MG-132,9,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,-.22181594666406249,.83938362321657789,1,.21920686001170797,-.11696795829978698,GDSC1
MG-132,9,HEL,907053,LAML,blood,acute_myeloid_leukaemia,-1.6993842695641121,.68235218274747678,1,.080667603224440845,-1.152439778653237,GDSC1
MG-132,9,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,1.6782759606666533,.96467584584819721,1,.033450001852220225,1.2146060850994138,GDSC1
MG-132,9,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,-1.02912754501354,.76927103433966781,1,.17908353073080069,-.68272752242921819,GDSC1
MG-132,9,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,-.55702534286557748,.82768320763029579,1,.15048094334090928,-.35188087454524652,GDSC1
MG-132,9,KY821,907300,LAML,blood,leukemia,2.4568441182747285,.98832741418851233,1,.031534190164373636,1.7602224027566244,GDSC1
MG-132,9,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,-2.1946523695550288,.59539381731433283,1,.099813657065195086,-1.4995209613724469,GDSC1
MG-132,9,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,.15181056675084498,.8700644445544734,1,.10356539256343888,.14486746411825133,GDSC1
MG-132,9,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,.12651963918439049,.86640209488152053,1,.14137332790684076,.12714372004510816,GDSC1
MG-132,9,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,1.3171502522098539,.93743490199635793,1,.1312095823480279,.96153115860243699,GDSC1
MG-132,9,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,1.290723307875197,.98707934754212023,1,.016904919776412442,.94301130017526258,GDSC1
MG-132,9,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,-1.0264636471377253,.80340015801492104,1,.162879962181048,-.68086067732977029,GDSC1
MG-132,9,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,2.4855117508004536,.99262030517377364,1,.021199422884556781,1.7803125232448427,GDSC1
MG-132,9,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,.068470539358444757,.88124667635856713,1,.19606299653323317,.086463227552770652,GDSC1
MG-132,9,CMK,910566,LAML,blood,acute_myeloid_leukaemia,-1.6344596783139331,.69301552914982145,1,.1803590768305311,-1.1069409792775318,GDSC1
MG-132,9,CESS,910688,LAML,blood,acute_myeloid_leukaemia,-1.7468243872698705,.67053203968810771,1,.15187846898829493,-1.1856855543491787,GDSC1
MG-132,9,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,-1.4152471420463077,.73668025401202952,1,.10085186763574062,-.95331802969519341,GDSC1
MG-132,9,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,-.94097499588258771,.786175488046153,1,.19271756253392255,-.62095069688231674,GDSC1
MG-132,9,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,-1.1399383989443632,.77343010189554062,1,.073415246747013038,-.76038316437575415,GDSC1
MG-132,9,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,.1112333624622321,.87962011092722503,1,.17154149602384153,.1164311807069251,GDSC1
MG-132,9,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,-.82093504053306132,.78239832631618522,1,.19989900779436587,-.5368273510075493,GDSC1
MG-132,9,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,-.24198013286141504,.87004881890309926,1,.16585110013139409,-.13109890998853063,GDSC1
MG-132,9,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,-1.8349160468036831,.66544681888493318,1,.11819872453824244,-1.2474197087985655,GDSC1
MG-132,9,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,.55752190756148612,.8877942420371745,1,.14717167897587874,.42918775854814983,GDSC1
Paclitaxel,11,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,-4.1501937730273584,.65467074967866357,.1024,.086552596404087259,-.64347147308525898,GDSC1
Paclitaxel,11,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,-3.5634241466267018,.73278248806347634,.1024,.28590614319337632,-.33449327450359967,GDSC1
Paclitaxel,11,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,-2.3661805430318545,.8521326498846713,.1024,.22052437409149339,.2959452404742714,GDSC1
Paclitaxel,11,HEL,907053,LAML,blood,acute_myeloid_leukaemia,-3.1873873983607002,.80381259096120028,.1024,.035454134214814345,-.13648173496218607,GDSC1
Paclitaxel,11,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,.14752814383005974,.98175628723414676,.1024,.037395867966723145,1.6196013175448509,GDSC1
Paclitaxel,11,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,.018635935906499812,.987192225773178,.1024,.028721009735359963,1.5517299069885024,GDSC1
Paclitaxel,11,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,-1.9004469014311947,.91554811275829517,.1024,.10476062269710489,.54118891895736576,GDSC1
Paclitaxel,11,KY821,907300,LAML,blood,leukemia,-3.468577334116806,.74550906476171241,.1024,.065982338295029905,-.28454931702528663,GDSC1
Paclitaxel,11,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,-4.4808805197629455,.59419279689488369,.1024,.09274558438162249,-.81760283691871039,GDSC1
Paclitaxel,11,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,-3.6721020265841213,.69966502005345055,.1024,.055735794976584943,-.3917203259119984,GDSC1
Paclitaxel,11,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,-3.2277456656392198,.75533205407692283,.1024,.2038218658332813,-.15773338835482353,GDSC1
Paclitaxel,11,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,-4.4498392145810541,.58796104530788307,.1024,.15389762565158269,-.80125726256518148,GDSC1
Paclitaxel,11,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,-.42120997477101069,.99466726660774563,.1024,.023826696553012009,1.3201180596468169,GDSC1
Paclitaxel,11,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,-5.1757194004381395,.47778617710594939,.1024,.10616928905737963,-1.1834875998578946,GDSC1
Paclitaxel,11,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,-.61418923471274434,.98097903383101648,.1024,.046684989875711992,1.2185000115788265,GDSC1
Paclitaxel,11,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,-4.5733792888846079,.57564488040622996,.1024,.077284443211491347,-.86631037351965412,GDSC1
Paclitaxel,11,CMK,910566,LAML,blood,acute_myeloid_leukaemia,-3.4649921136390045,.76348781499491869,.1024,.046309231630440283,-.28266142965875007,GDSC1
Paclitaxel,11,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,-4.8348751945193511,.53845298962314236,.1024,.07757133222459954,-1.0040075722569541,GDSC1
Paclitaxel,11,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,-4.5287649233211242,.58662619582661912,.1024,.19234996335389076,-.84281756529911367,GDSC1
Paclitaxel,11,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,-2.5343629638882272,.88961250673684278,.1024,.078245686676547729,.20738458721063072,GDSC1
Paclitaxel,11,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,-.62061880449580831,.96487506401555057,.1024,.094033104964092881,1.2151143610614126,GDSC1
Paclitaxel,11,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,-5.0543927093875176,.49954162242624556,.1024,.12250794875306932,-1.1196000011240472,GDSC1
Paclitaxel,11,OCI-AML5,1330983,LAML,blood,acute_myeloid_leukaemia,-4.298027451445436,.62444587235403837,.1024,.11215386582807541,-.72131698790427012,GDSC1
Paclitaxel,11,OCI-M1,1330985,LAML,blood,acute_myeloid_leukaemia,-3.6847671873163201,.73856624751906497,.1024,.053894972021493424,-.39838948254811563,GDSC1
Paclitaxel,11,PL-21,1330991,LAML,blood,acute_myeloid_leukaemia,-4.4775717470874454,.58198513394171558,.1024,.14667992808708233,-.81586052004545395,GDSC1
Cyclopamine,17,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,2.5122990105702527,.88661435189598836,16,.12232103508987073,-2.2636907581595711,GDSC1
Cyclopamine,17,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,5.2341373683883763,.98871969679486416,16,.024695645647768306,.57780887676419523,GDSC1
Cyclopamine,17,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,5.0668495342040298,.97494270424718787,16,.062859863402737207,.40316650007910215,GDSC1
Cyclopamine,17,HEL,907053,LAML,blood,acute_myeloid_leukaemia,4.0791438151865789,.98027011629910854,16,.023937580966001553,-.62796212368311066,GDSC1
Cyclopamine,17,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,5.0709605616811952,.97953263642379751,16,.052723554113234608,.40745826231471527,GDSC1
Cyclopamine,17,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,4.6429058528592844,.98001213689713618,16,.019608084230534031,-.039415188252673101,GDSC1
Cyclopamine,17,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,4.8235967177263381,.98291812768152176,16,.061908544237576565,.14921946195681632,GDSC1
Cyclopamine,17,KY821,907300,LAML,blood,leukemia,4.0188974268999704,.96077358588137463,16,.058144550716033687,-.6908571482278828,GDSC1
Cyclopamine,17,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,2.7205369529023229,.8866954558044835,16,.10873147322881926,-2.0462979672121402,GDSC1
Cyclopamine,17,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,4.3128171779407944,.95150092099516059,16,.076967658465393579,-.38401568467055541,GDSC1
Cyclopamine,17,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,5.409921849024852,.97908746117540257,16,.053786967266486047,.76132144139503954,GDSC1
Cyclopamine,17,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,3.9602593579494769,.93139861766592813,16,.11048854809443492,-.75207314624513011,GDSC1
Cyclopamine,17,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,4.3989325846264888,.99232168671037035,16,.057107829899416311,-.29411435164104149,GDSC1
Cyclopamine,17,SIG-M5,909715,LAML,blood,acute_myeloid_leukaemia,3.7737935832655718,.9879488208504934,16,.018002000716780375,-.94673659096005625,GDSC1
